0,1,2,3,4,5,6
0.05343839993783894,0.007851970809143793,0.1528,0.1151,0.03279257395679713,0.067006,-0.963540383594553
0.04103894426909305,-9.220904499795957e-05,0.1599,0.1214,0.01977134015301285,0.0695,-0.9606540940428142
0.03606190248939467,0.00038963983110873457,0.165,0.1191,0.022176556212004428,0.06425,-0.9776263871799298
0.014944650220183098,0.0011604786266725675,0.1742,0.1147,0.017348413980780686,0.066,-1.0139921236214342
0.0005330021629070814,-0.0011645118520650088,0.1754,0.1087,0.022572980312287827,0.065,-1.0489839159420031
0.008436643291981571,0.0025506450188845786,0.1706,0.1015,0.01819258757827047,0.0655,-1.0335227631758386
0.025367052753551222,0.004454421100627881,0.1688,0.1074,0.02150355570606166,0.0675,-1.0403764298911666
0.014714561837488871,0.004980576454307162,0.1703,0.1059,0.01857010213556176,0.068,-1.0888055009424322
0.018952558771409445,0.005689910456179836,0.1705,0.1085,0.02433665708974142,0.0645,-1.0715696424890182
0.012012889828447504,0.01398527045514153,0.1677,0.104,0.019937747118701,0.0635,-1.0974442408638538
0.019381742935220547,0.008640671406395128,0.1726,0.1077,0.024418996295048734,0.06525,-1.0536218883979147
0.013942416619537656,0.007826946150045755,0.1669,0.1034,0.02089802769618121,0.0645,-1.0664974280273427
0.016503949625939596,0.00931428891816899,0.1674,0.0989,0.01951711954235713,0.06725,-1.0588916709557805
0.013555447055729308,-0.0005825665213758935,0.1664,0.1122,0.01959135625998476,0.077,-1.1262464791126965
0.011384066834515316,0.0027356694634421697,0.1606,0.1113,0.020829833697295408,0.0705,-1.0882556655414004
0.01420134762737102,0.001635761122470436,0.1632,0.1145,0.022681451612903025,0.071,-1.0763661835766105
0.015346720593434116,0.007417330607064843,0.1607,0.1096,0.023390828775767813,0.07225,-1.0634232136814417
0.009148470639730899,0.01527601298884651,0.1615,0.1042,0.0109724432532039,0.075,-1.0254635763473552
0.00955590373678894,0.019459367993569954,0.1625,0.1031,0.014867702645946945,0.0804,-0.995903550939214
0.02665170414221274,0.02743826744507749,0.1587,0.1008,0.021158223046446878,0.07425,-1.004295184116684
0.014814888491942568,0.024171172956598097,0.1677,0.1055,0.013048236383534029,0.0765,-0.9935311511698594
0.009809273473308844,0.02541586703585419,0.1592,0.1065,0.006031160998492213,0.078,-0.9409037993069058
0.020653508357729722,0.02485775877301477,0.1483,0.1032,0.008777062609713449,0.075,-0.9529797871571305
0.026980960520056607,0.01719306377868146,0.15,0.1044,0.004398340248962684,0.07625,-0.9655960191951851
0.026224994884801234,0.005123258756019711,0.1445,0.111,0.011468461730241852,0.075,-1.0200907951604268
0.024356400189275318,0.008631887701655128,0.1505,0.1034,0.004226752859274097,0.0695,-1.026540052027435
0.028461852636091578,0.01725126169073543,0.1565,0.1023,0.0010773183061241198,0.0735,-0.9751042056749301
0.030297744565201734,0.021340886305797335,0.1513,0.1022,-0.016086454380465298,0.07825,-0.9533093585142733
0.03265139418755414,0.017504369101712713,0.1446,0.1002,-0.014929066314747552,0.07675,-0.9636293837033091
0.03047636882294169,0.02219203215708787,0.1553,0.1024,-0.013235777704702412,0.072,-0.9623120633517136
0.03725964154585504,0.02281059063136448,0.1543,0.1018,0.0026389576117433755,0.066,-1.0440710980565384
0.04399569967276862,0.020398261823397768,0.1588,0.1058,-0.0037847622181997886,0.068,-1.0209882755904094
0.04263711430609152,0.02024468189945261,0.158,0.1115,-0.008871365204534243,0.072,-1.00791144641598
0.036004754665329486,-0.020842373427023664,0.158,0.1831,-0.030337910055085127,0.085505,-0.9925605822017876
0.0126960057341996,-0.021846145288686225,0.2024,0.1542,-0.017729908864954402,0.083,-0.9487280273391785
-0.0037666600074204304,-0.029579373971257428,0.1903,0.1582,-0.02648568117861272,0.085,-0.9368790432281806
-0.0187597843747489,-0.04226762128984596,0.2034,0.1861,-0.03582631665841174,0.08475,-0.8775709336997941
-0.04050493519671594,-0.05035971223021596,0.2587,0.1963,-0.03997008475984709,0.097,-0.9010424021376384
-0.03230680317989576,-0.03631906077348057,0.2358,0.1596,-0.029142381348875923,0.0915,-0.8909833493994331
-0.03051643735484888,-0.04003393056647486,0.2289,0.1524,-0.03828306264501169,0.09125,-0.8870576915405693
-0.011691209126741708,-0.03205114927052899,0.2271,0.1429,-0.031810294968189656,0.09125,-0.8918747783890429
-0.019440332763379198,-0.024484374782693386,0.2125,0.1409,-0.02768876838386325,0.08275,-0.946273057684391
-0.012107861312029788,-0.018676266421091547,0.2097,0.1399,-0.03444316877152698,0.086005,-0.9700414361263503
-0.025117683278050418,-0.045912785786492716,0.2322,0.1813,-0.040356523892052465,0.0962,-0.9344153479102134
-0.060596621122266936,-0.04681508967223247,0.2801,0.1727,-0.030711920529801318,0.097005,-0.9510162711247231
-0.0579329873952561,-0.04429541257954017,0.2543,0.1643,-0.0142533746960678,0.090975,-0.9696607632348508
-0.0632983975407887,-0.04712340437226037,0.2538,0.1679,-0.022439922967428694,0.10025,-0.9618232742056859
-0.05186930500348663,-0.036742377399453185,0.2334,0.1459,-0.016978922716627598,0.099,-0.9755530351952478
-0.0432529577816525,-0.033390880192919026,0.1999,0.1327,-0.022827626426726644,0.0925,-0.987753548309475
-0.03808040183800243,-0.014996086186297664,0.1895,0.1293,-0.028376377693699606,0.08525,-0.97786827959928
-0.0389154198110665,-0.010391471826570076,0.1901,0.1295,-0.024446646845061037,0.08175,-0.9773259750466556
-0.038066246325214714,-0.008196608204887657,0.194,0.1316,-0.02088513177523621,0.08325,-0.945550238066566
-0.04165967620166089,0.0211359217749314,0.1967,0.1348,-0.0011022553840935867,0.08325,-0.9333533812311586
-0.019847058529480543,0.007399667334840432,0.2015,0.1498,-0.014338731443994668,0.092,-0.9328143489545895
-0.01086142558144465,0.013797330330608482,0.1929,0.1514,0.003825879952388922,0.09075,-0.9282831044570238
0.004049267246411192,0.02428685741473635,0.1822,0.1464,0.008818493150684947,0.08975,-0.9544026795032843
0.023203593264131905,0.03669985154135014,0.2056,0.1453,0.020167921751925943,0.092,-0.9445012236393349
0.023719908575499327,0.030356669365992683,0.178,0.1346,0.020240137221269272,0.087005,-0.9859942508061912
0.046494939938990676,0.03405245802711265,0.1748,0.1324,0.023005342064449374,0.083005,-0.973608651622291
0.023470024826933944,0.029866822646569924,0.1777,0.1323,0.013227513227513255,0.081,-0.9468311904656992
0.026102233410187914,0.027022607706526314,0.1719,0.1314,0.013504331578053419,0.07925,-0.9951983070522067
0.028281886320612903,0.051119416524547434,0.1693,0.1268,0.02390780873753018,0.0825,-0.9823955660542789
0.05955426941114328,0.03727012550732778,0.1782,0.1349,0.019643009650696097,0.077005,-1.0288395832899837
0.040332993483543245,0.03987703622834493,0.1854,0.1271,0.013523858127073352,0.0725,-1.0497706925143575
0.03701591302036822,0.04751433000468652,0.179,0.122,0.021584582441113387,0.07375,-1.0716084824922167
0.03637662372020434,0.04736601857267164,0.1713,0.1198,0.018803709691142645,0.07375,-1.036771605608583
0.021222732357602414,0.04290756516931982,0.1782,0.1214,0.013811919174695042,0.0745,-1.0410839908966336
0.029372727696466816,0.026103801984613595,0.1724,0.1242,0.009698000850701938,0.0795,-0.9924719197751334
-0.00271137595297144,0.02522759909099781,0.1866,0.1254,0.002962837551849784,0.082,-1.0047213554293477
-0.0016012027040247512,0.03359074165627973,0.1764,0.1207,0.004825601083643605,0.07575,-1.0132048553979216
-0.003800373930770262,0.030212173913043427,0.1773,0.1304,0.004316912138141227,0.075,-1.0003897001172382
0.004993938975125456,0.03625902100643286,0.1703,0.1312,0.006620830150241952,0.0745,-1.0033953754763736
-0.0010762266346676652,0.05517100258955865,0.1759,0.1321,0.01617319869929834,0.07225,-0.9993898104452807
0.009570816395330306,0.050417214399696375,0.1681,0.1279,0.012704327941051918,0.0715,-1.0407521930183108
0.0065225753644941875,0.0515251326661319,0.1703,0.1245,0.015276245438343272,0.0715,-1.0576527995924965
0.0017936621617311577,0.033753660182087586,0.182,0.1351,0.0076496301277741985,0.072005,-1.0450990437932328
-0.008502578361146207,0.03928802184288971,0.1744,0.1308,0.012044133748841945,0.07025,-1.0450990437932328
-0.0041665351650380655,0.04490485321297788,0.1705,0.1315,0.0064526942093354744,0.06775,-1.0793185330603714
-0.00044438934393975504,0.040962724128169814,0.1787,0.1321,0.008231143961028087,0.06925,-1.073324070339656
0.004417073616573175,0.05122769951420225,0.1781,0.1288,0.005863137616215708,0.06775,-1.0763852219307661
0.011204976847760895,0.03016300594004706,0.181,0.136,0.006210137630077384,0.0665,-1.0584522498614886
0.01092896489566031,0.036480022025673575,0.1883,0.1295,0.0077974343925548695,0.06675,-1.0974378709122412
0.002815926663376489,0.023616417087172437,0.1865,0.1396,0.005094371137464471,0.06575,-1.0941504908351536
-0.0008255621895940646,0.02019055644657075,0.1954,0.1401,0.011521318644353018,0.0645,-1.122026620025192
-0.007829706016698745,0.028278438030560293,0.1902,0.135,0.018030162608475786,0.064,-1.147048069022028
0.007289328728981026,0.028570845770467646,0.1913,0.1351,0.023885887913571935,0.06325,-1.1749417186293345
-0.0030390852490913556,0.025869909387947754,0.1882,0.1276,0.02047350240121326,0.065,-1.2013762774768335
0.0058148294765449915,0.02982585267365767,0.1856,0.133,0.0237673830594185,0.0635,-1.180703041729197
