,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,23,7
1,2018,10%以上20%未満,21,9
2,2018,20%以上30%未満,14,9
3,2018,30%以上40%未満,20,14
4,2018,40%以上50%未満,15,12
5,2018,50%以上60%未満,8,4
6,2018,60%以上70%未満,9,13
7,2018,70%以上80%未満,6,7
8,2018,80%以上90%未満,7,11
9,2018,90%以上100%未満,21,6
10,2019,0%以上10%未満,6,3
11,2019,10%以上20%未満,10,3
12,2019,20%以上30%未満,16,8
13,2019,30%以上40%未満,13,9
14,2019,40%以上50%未満,13,13
15,2019,50%以上60%未満,9,7
16,2019,60%以上70%未満,12,11
17,2019,70%以上80%未満,25,15
18,2019,80%以上90%未満,9,10
19,2019,90%以上100%未満,13,28
20,2020,0%以上10%未満,4,1
21,2020,10%以上20%未満,7,12
22,2020,20%以上30%未満,8,20
23,2020,30%以上40%未満,13,22
24,2020,40%以上50%未満,15,33
25,2020,50%以上60%未満,22,44
26,2020,60%以上70%未満,7,18
27,2020,70%以上80%未満,1,3
28,2020,80%以上90%未満,0,1
29,2020,90%以上100%未満,0,4
30,2021,0%以上10%未満,4,2
31,2021,10%以上20%未満,6,7
32,2021,20%以上30%未満,7,3
33,2021,30%以上40%未満,9,7
34,2021,40%以上50%未満,11,2
35,2021,50%以上60%未満,13,4
36,2021,60%以上70%未満,16,10
37,2021,70%以上80%未満,15,20
38,2021,80%以上90%未満,24,18
39,2021,90%以上100%未満,47,12
40,2022,0%以上10%未満,5,0
41,2022,10%以上20%未満,7,1
42,2022,20%以上30%未満,10,10
43,2022,30%以上40%未満,20,13
44,2022,40%以上50%未満,20,19
45,2022,50%以上60%未満,32,15
46,2022,60%以上70%未満,18,20
47,2022,70%以上80%未満,15,7
48,2022,80%以上90%未満,12,4
49,2022,90%以上100%未満,11,1
50,2023,0%以上10%未満,2,0
51,2023,10%以上20%未満,13,0
52,2023,20%以上30%未満,6,0
53,2023,30%以上40%未満,6,0
54,2023,40%以上50%未満,11,1
55,2023,50%以上60%未満,7,4
56,2023,60%以上70%未満,10,6
57,2023,70%以上80%未満,4,7
58,2023,80%以上90%未満,6,2
59,2023,90%以上100%未満,7,0
