,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,39,10
1,2018,10%以上20%未満,17,10
2,2018,20%以上30%未満,16,9
3,2018,30%以上40%未満,14,15
4,2018,40%以上50%未満,10,10
5,2018,50%以上60%未満,5,3
6,2018,60%以上70%未満,9,14
7,2018,70%以上80%未満,11,12
8,2018,80%以上90%未満,10,6
9,2018,90%以上100%未満,13,3
10,2019,0%以上10%未満,0,0
11,2019,10%以上20%未満,3,2
12,2019,20%以上30%未満,12,6
13,2019,30%以上40%未満,24,17
14,2019,40%以上50%未満,15,12
15,2019,50%以上60%未満,14,9
16,2019,60%以上70%未満,28,12
17,2019,70%以上80%未満,17,10
18,2019,80%以上90%未満,2,10
19,2019,90%以上100%未満,11,29
20,2020,0%以上10%未満,0,0
21,2020,10%以上20%未満,8,20
22,2020,20%以上30%未満,18,15
23,2020,30%以上40%未満,10,27
24,2020,40%以上50%未満,15,40
25,2020,50%以上60%未満,14,34
26,2020,60%以上70%未満,11,5
27,2020,70%以上80%未満,1,12
28,2020,80%以上90%未満,0,4
29,2020,90%以上100%未満,0,1
30,2021,0%以上10%未満,2,0
31,2021,10%以上20%未満,3,0
32,2021,20%以上30%未満,2,6
33,2021,30%以上40%未満,7,2
34,2021,40%以上50%未満,11,8
35,2021,50%以上60%未満,16,4
36,2021,60%以上70%未満,13,8
37,2021,70%以上80%未満,24,18
38,2021,80%以上90%未満,41,24
39,2021,90%以上100%未満,33,15
40,2022,0%以上10%未満,3,0
41,2022,10%以上20%未満,6,0
42,2022,20%以上30%未満,3,10
43,2022,30%以上40%未満,16,18
44,2022,40%以上50%未満,16,14
45,2022,50%以上60%未満,40,13
46,2022,60%以上70%未満,36,18
47,2022,70%以上80%未満,21,11
48,2022,80%以上90%未満,7,5
49,2022,90%以上100%未満,2,1
50,2023,0%以上10%未満,8,0
51,2023,10%以上20%未満,9,0
52,2023,20%以上30%未満,9,0
53,2023,30%以上40%未満,5,1
54,2023,40%以上50%未満,9,4
55,2023,50%以上60%未満,12,2
56,2023,60%以上70%未満,4,6
57,2023,70%以上80%未満,2,7
58,2023,80%以上90%未満,9,0
59,2023,90%以上100%未満,5,0
