,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,1,2
1,2018,10%以上20%未満,9,7
2,2018,20%以上30%未満,7,12
3,2018,30%以上40%未満,22,19
4,2018,40%以上50%未満,29,30
5,2018,50%以上60%未満,49,40
6,2018,60%以上70%未満,3,5
7,2018,70%以上80%未満,1,0
8,2018,80%以上90%未満,0,0
9,2018,90%以上100%未満,0,0
10,2019,0%以上10%未満,0,0
11,2019,10%以上20%未満,0,0
12,2019,20%以上30%未満,0,0
13,2019,30%以上40%未満,5,2
14,2019,40%以上50%未満,43,16
15,2019,50%以上60%未満,41,52
16,2019,60%以上70%未満,19,28
17,2019,70%以上80%未満,11,8
18,2019,80%以上90%未満,1,6
19,2019,90%以上100%未満,1,0
20,2020,0%以上10%未満,0,1
21,2020,10%以上20%未満,6,10
22,2020,20%以上30%未満,6,18
23,2020,30%以上40%未満,15,23
24,2020,40%以上50%未満,26,26
25,2020,50%以上60%未満,29,26
26,2020,60%以上70%未満,13,19
27,2020,70%以上80%未満,5,7
28,2020,80%以上90%未満,3,2
29,2020,90%以上100%未満,0,0
30,2021,0%以上10%未満,4,2
31,2021,10%以上20%未満,5,7
32,2021,20%以上30%未満,7,5
33,2021,30%以上40%未満,10,2
34,2021,40%以上50%未満,22,10
35,2021,50%以上60%未満,42,33
36,2021,60%以上70%未満,38,17
37,2021,70%以上80%未満,16,7
38,2021,80%以上90%未満,5,2
39,2021,90%以上100%未満,3,0
40,2022,0%以上10%未満,8,2
41,2022,10%以上20%未満,12,8
42,2022,20%以上30%未満,9,12
43,2022,30%以上40%未満,13,16
44,2022,40%以上50%未満,15,23
45,2022,50%以上60%未満,39,13
46,2022,60%以上70%未満,23,17
47,2022,70%以上80%未満,9,9
48,2022,80%以上90%未満,10,2
49,2022,90%以上100%未満,0,0
50,2023,0%以上10%未満,0,0
51,2023,10%以上20%未満,0,1
52,2023,20%以上30%未満,6,8
53,2023,30%以上40%未満,13,8
54,2023,40%以上50%未満,7,2
55,2023,50%以上60%未満,15,10
56,2023,60%以上70%未満,11,2
57,2023,70%以上80%未満,3,6
58,2023,80%以上90%未満,0,0
59,2023,90%以上100%未満,0,0
