,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,2,1
1,2018,10%以上20%未満,11,3
2,2018,20%以上30%未満,7,17
3,2018,30%以上40%未満,18,22
4,2018,40%以上50%未満,22,19
5,2018,50%以上60%未満,20,21
6,2018,60%以上70%未満,25,18
7,2018,70%以上80%未満,13,13
8,2018,80%以上90%未満,3,1
9,2018,90%以上100%未満,0,0
10,2019,0%以上10%未満,0,0
11,2019,10%以上20%未満,1,0
12,2019,20%以上30%未満,5,1
13,2019,30%以上40%未満,14,18
14,2019,40%以上50%未満,25,24
15,2019,50%以上60%未満,46,37
16,2019,60%以上70%未満,15,17
17,2019,70%以上80%未満,13,12
18,2019,80%以上90%未満,2,3
19,2019,90%以上100%未満,0,0
20,2020,0%以上10%未満,3,2
21,2020,10%以上20%未満,3,11
22,2020,20%以上30%未満,13,17
23,2020,30%以上40%未満,25,28
24,2020,40%以上50%未満,26,38
25,2020,50%以上60%未満,22,23
26,2020,60%以上70%未満,7,8
27,2020,70%以上80%未満,2,5
28,2020,80%以上90%未満,2,0
29,2020,90%以上100%未満,0,0
30,2021,0%以上10%未満,1,1
31,2021,10%以上20%未満,5,5
32,2021,20%以上30%未満,8,3
33,2021,30%以上40%未満,12,6
34,2021,40%以上50%未満,28,26
35,2021,50%以上60%未満,47,19
36,2021,60%以上70%未満,27,16
37,2021,70%以上80%未満,12,6
38,2021,80%以上90%未満,10,2
39,2021,90%以上100%未満,2,1
40,2022,0%以上10%未満,1,0
41,2022,10%以上20%未満,5,3
42,2022,20%以上30%未満,11,4
43,2022,30%以上40%未満,19,18
44,2022,40%以上50%未満,44,25
45,2022,50%以上60%未満,41,26
46,2022,60%以上70%未満,12,18
47,2022,70%以上80%未満,3,5
48,2022,80%以上90%未満,2,3
49,2022,90%以上100%未満,0,0
50,2023,0%以上10%未満,0,0
51,2023,10%以上20%未満,1,0
52,2023,20%以上30%未満,4,2
53,2023,30%以上40%未満,7,4
54,2023,40%以上50%未満,19,11
55,2023,50%以上60%未満,15,11
56,2023,60%以上70%未満,6,6
57,2023,70%以上80%未満,2,3
58,2023,80%以上90%未満,1,0
59,2023,90%以上100%未満,0,0
